# phrase	space-separated tone-marked syllables
啊哈	ā ha
啊哟	ā yō
啛啛喳喳	cuì cuì chā chā
啼饥号寒	tí jī háo hán
善为说辞	shàn wéi shuō cí
善善恶恶	shàn shàn wù è
善自为谋	shàn zì wéi móu
善财难舍	shàn cái nán shě
喇叭	lǎ ba
喇嘛	lǎ ma
喜好	xǐ hào
喜怒哀乐	xǐ nù āi lè
喜欢	xǐ huan
喝令	hè lìng
喝倒彩	hè dào cǎi
喝彩	hè cǎi
喝斥	hè chì
喝道	hè dào
喝采	hè cǎi
喝问	hè wèn
喷香	pèn xiāng
嗑牙料嘴	kē yá liào zuǐ
嗓子	sǎng zi
嗜好	shì hào
嘀嗒	dī dā
嘁嘁喳喳	qī qī chā chā
嘎吱	gā zhī
嘎嘎	gā gā
嘎嘣脆	gā bēng cuì
嘎渣儿	gā zhā er
嘴巴	zuǐ ba
器乐	qì yuè
器量	qì liàng
噼里啪啦	pī li pā lā
嚷嚷	rāng rang
嚼墨喷纸	jué mò pēn zhǐ
嚼铁咀金	jiáo tiě jǔ jīn
四一	sì yī
四不拗六	sì bú niù liù
四亭八当	sì tíng bā dàng
四海为家	sì hǎi wéi jiā
四通	sì tōng
四通八达	sì tōng bā dá
四马攒蹄	sì mǎ cuán tí
回船转舵	huí chuán zhuàn duò
因树为屋	yīn shù wéi wū
因缘为市	yīn yuán wéi shì
团团转	tuán tuán zhuàn
团头聚面	tuán tóu jù miàn
团长	tuán zhǎng
固着	gù zhuó
国乐	guó yuè
国子监	guó zǐ jiàn
图穷匕见	tú qióng bǐ xiàn
圈子	quān zi
圈牢养物	juàn láo yǎng wù
土生土长	tǔ shēng tǔ zhǎng
土疙瘩	tǔ gē da
圣君贤相	shèng jūn xián xiàng
圣经贤传	shèng jīng xián zhuàn
在劫难逃	zài jié nán táo
在行	zài háng
圩场	xū chǎng
地壳	dì qiào
地处	dì chǔ
场子	chǎng zi
场院	cháng yuàn
坎坷	kǎn kě
坏裳为裤	huài shang wéi kù
坐不窥堂	zuò bù kuī táng
坐不重席	zuò bù chóng xí
坐地自划	zuò dì zì huá
坐视不救	zuò shī bú jiù
坤角儿	kūn jué er
坦率	tǎn shuài
垂头搨翼	chuí tóu tà yì
垛口	duǒ kǒu
垛子	duò zi
垦种	kěn zhòng
埋三怨四	mán sān yuàn sì
埋怨	mán yuàn
埋没	mái mò
城北徐公	chéng běi xú gōng
城垛	chéng duǒ
埙篪相和	xūn chí xiāng hè
基干	jī gàn
堆案盈几	duī àn yíng jī
堰塞湖	yàn sè hú
堵塞	dǔ sè
塔什干	tǎ shí gān
塞上	sài shàng
塞井焚舍	sāi jǐng fén shě
塞北	sài běi
塞外	sài wài
塞子	sāi zi
塞翁失马	sài wēng shī mǎ
塞音	sè yīn
填塞	tián sè
填空	tián kòng
增量	zēng liàng
增长	zēng zhǎng
壅塞	yōng sè
士大夫	shì dà fū
壮发冲冠	zhuàng fā chōng guàn
声乐	shēng yuè
声调	shēng diào
处世	chǔ shì
处之泰然	chǔ zhī tài rán
处事	chǔ shì
处于	chǔ yú
处决	chǔ jué
处分	chǔ fèn
处刑	chǔ xíng
处变不惊	chǔ biàn bù jīng
处堂燕雀	chǔ táng yàn què
处境	chǔ jìng
处士	chǔ shì
处女	chǔ nǚ
处实效功	chǔ shí xiào gōng
处尊居显	chǔ zūn jū xiǎn
处心积虑	chǔ xīn jī lǜ
处方	chǔ fāng
处死	chǔ sǐ
处治	chǔ zhì
处理	chǔ lǐ
处罚	chǔ fá
处置	chǔ zhì
处身	chǔ shēn
处高临深	chǔ gāo lín shēn
复辟	fù bì
外传	wài zhuàn
外头	wài tou
外差	wài chā
外甥女	wài sheng nǚ
外相	wài xiàng
外行	wài háng
外调	wài diào
外长	wài zhǎng
多弹头	duō dàn tóu
多文为富	duō wén wéi fù
多灾多难	duō zāi duō nàn
多相	duō xiàng
多端寡要	duō duān guǎ yào
多言数穷	duō yán shuò qióng
多财善贾	duō cái shàn gǔ
多难兴邦	duō nàn xīng bāng
夜猫子	yè māo zi
够劲儿	gòu jìn er
大人先生	dà rén xiān sheng
大出风头	dà chū fēng tóu
大吹大擂	dà chuī dà léi
大城	dài chéng
大堡礁	dà bǎo jiāo
大大咧咧	dà da liē liē
大夫	dài fu
大婶儿	dà shěn er
大将	dà jiàng
大师傅	dà shī fu
大干	dà gàn
大方	dà fāng
大明法度	dà míng fǎ dù
大有可为	dà yǒu kě wéi
大模大样	dà mú dà yàng
大溜	dà liù
大猩猩	dà xīng xing
大璞不完	dà pú bù wán
大而无当	dà ér wú dàng
大腹便便	dà fù pián pián
大藏	dà zàng
大行大市	dà háng dà shì
大调	dà diào
大车以载	dà chē yǐ zài
大轴子	dà zhòu zi
大量	dà liàng
大难	dà nàn
大雨滂沱	dà yǔ pāng tuó
大马哈鱼	dà mǎ hǎ yú
天下为一	tiān xià wéi yī
天下为公	tiān xià wéi gōng
天下为家	tiān xià wéi jiā
天下为笼	tiān xià wéi lóng
天兵天将	tiān bīng tiān jiàng
天分	tiān fèn
天华	tiān huá
天台路迷	tiān tái lù mí
天呀	tiān yā
天差地远	tiān chā dì yuǎn
天年不遂	tiān nián bú suì
天旋地转	tiān xuán dì zhuàn
天道好还	tiān dào hǎo huán
太监	tài jian
太行	tài háng
失当	shī dàng
失魂落魄	shī hún luò pò
头会箕敛	tóu kuài jī liǎn
头儿	tóu er
头出头没	tóu chū tóu mò
头发	tóu fa
头子	tóu zi
头昏脑闷	tóu hūn nǎo mèn
头没杯案	tóu mò bēi àn
夷为平地	yí wéi píng dì
夹七夹八	jiā qī jiā bā
夹克	jiā kè
夹具	jiā jù
夹击	jiā jī
夹墙	jiā qiáng
夹子	jiā zi
夹层	jiā céng
夹层玻璃	jiā céng bō li
夹带	jiā dài
夹心	jiā xīn
夹持	jiā chí
夹攻	jiā gōng
夹杂	jiā zá
夹板	jiā bǎn
夹枪带棒	jiā qiāng dài bàng
夹棍	jiā gùn
夹生	jiā shēng
夹竹桃	jiā zhú táo
夹紧	jiā jǐn
夹缝	jiā fèng
夹袋人物	jiā dài rén wù
夹角	jiā jiǎo
夹道	jiā dào
夺人所好	duó rén suǒ hào
夺冠	duó guàn
夺得	duó dé
奇偶	jī ǒu
奇函数	jī hán shù
奇数	jī shù
奉为圭臬	fèng wéi guī niè
奉为楷模	fèng wéi kǎi mó
奉为至宝	fèng wéi zhì bǎo
奉还	fèng huán
奋发有为	fèn fā yǒu wéi
奏乐	zòu yuè
奔丧	bēn sāng
奔头	bèn tou
奔头儿	bèn tou er
套色	tào shǎi
奥得河	ào de hé
女大难留	nǚ dà nán liú
女婿	nǚ xu
女将	nǚ jiàng
女强人	nǚ qiáng rén
女红	nǚ gōng
奶奶	nǎi nai
好丹非素	hào dān fēi sù
好为事端	hào wéi shì duān
好为人师	hào wéi rén shī
好事之徒	hào shì zhī tú
好动	hào dòng
好勇斗狠	hào yǒng dòu hěn
好吃懒做	hào chī lǎn zuò
好大喜功	hào dà xǐ gōng
好奇	hào qí
好奇尚异	hǎo qí shàng yì
好好	hǎo hǎo
好好儿	hǎo hāo er
好好先生	hǎo hǎo xiān sheng
好学	hào xué
好客	hào kè
好恶	hào wù
好恶不同	hǎo è bù tóng
好意思	hǎo yì si
好战	hào zhàn
好整以暇	hào zhěng yǐ xiá
好斗	hào dòu
好生之德	hào shēng zhī dé
好胜	hào shèng
好自为之	hǎo zì wéi zhī
好色	hào sè
好逸恶劳	hào yì wù láo
好酒贪杯	hào jiǔ tān bēi
好问决疑	hào wèn jué yí
好问则裕	hào wèn zé yù
好高骛远	hào gāo wù yuǎn
如一	rú yī
如切如磋	rú qiē rú cuō
如履薄冰	rú lǚ bó bīng
如数家珍	rú shǔ jiā zhēn
如水投石	rú shuǐ tóu shí
如登春台	rú dēng chūn tái
妃子	fēi zi
妄为	wàng wéi
妈妈	mā ma
妍蚩好恶	yán chī hǎo è
妥当	tuǒ dàng
妹夫	mèi fu
妹妹	mèi mei
始终若一	shǐ zhōng ruò yī
姐夫	jiě fu
姐姐	jiě jie
姑姑	gū gu
姑射神人	gū yè shén rén
姑父	gū fu
委委佗佗	wēi wēi tuó tuó
委屈	wěi qu
委曲	wěi qū
委靡	wěi mǐ
姘头	pīn tou
姥姥	lǎo lao
姥爷	lǎo ye
姨夫	yí fu
姨子	yí zi
威吓	wēi hè
娃娃	wá wa
娃娃亲	wá wa qīn
婀娜	ē nuó
婆婆	pó po
婆家	pó jia
婶婶	shěn shen
嫂子	sǎo zi
嫌恶	xián wù
子为父隐	zǐ wéi fù yǐn
子弹	zǐ dàn
子母弹	zǐ mǔ dàn
字帖	zì tiè
字模	zì mú
字里行间	zì lǐ háng jiān
孙子	sūn zi
孟什维克	mèng shí wéi kè
学长	xué zhǎng
孩子	hái zi
宁可	nìng kě
宁愿	nìng yuàn
宁折不弯	nìng zhé bù wān
宁死不屈	nìng sǐ bù qū
宁缺毋滥	nìng quē wú làn
宁肯	nìng kěn
安分	ān fèn
安时处顺	ān shí chǔ shùn
安步当车	ān bù dàng chē
安老怀少	ān lǎo huái shào
安身为乐	ān shēn wéi lè
宋斤鲁削	sòng jīn lǔ xuē
官差	guān chāi
官长	guān zhǎng
定冠词	dìng guàn cí
定都	dìng dū
定量	dìng liàng
宝宝	bǎo bao
宝藏	bǎo zàng
实与有力	shí yù yǒu lì
实干	shí gàn
实弹	shí dàn
实逼处此	shí bī chǔ cǐ
实际上	shí jì shang
审己度人	shěn jǐ duó rén
审度	shěn duó
审时度势	shěn shí duó shì
审查	shěn chá
宣传弹	xuān chuán dàn
宫观	gōng guàn
宫调	gōng diào
宰相	zǎi xiàng
家什	jiā shí
家伙	jiā huo
家当	jiā dàng
家累	jiā lěi
家累千金	jiā lèi qiān jīn
家给人足	jiā jǐ rén zú
家道从容	jiā dào cóng róng
家长	jiā zhǎng
家长里短	jiā cháng lǐ duǎn
容量	róng liàng
宽大为怀	kuān dà wéi huái
宽绰	kuān chuo
宿将	sù jiàng
寄兴寓情	jì xìng yù qíng
富商大贾	fù shāng dà gǔ
富商巨贾	fù shāng jù jiǎ
寒假	hán jià
寒酸落魄	hán suān luò pò
寒颤	hán zhàn
察察为明	chá chá wéi míng
寡廉鲜耻	guǎ lián xiǎn chǐ
寡见鲜闻	guǎ jiàn xiǎn wén
寥寥可数	liáo liáo kě shǔ
寸劲儿	cùn jìn er
寸积铢累	cùn jī zhū lěi
对子	duì zi
对得住	duì de zhù
对得起	duì de qǐ
对着干	duì zhe gàn
对称	duì chèn
对调	duì diào
寺观	sì guàn
寻思	xún si
寻欢作乐	xún huān zuò lè
寻行数墨	xún háng shǔ mò
导弹	dǎo dàn
封豨修蛇	fēng xī xiū shé
射干	shè gàn
将令	jiàng lìng
将取固予	jiāng qǔ gù yǔ
将士	jiàng shì
将夺固与	jiāng duó gù yǔ
将官	jiàng guān
将帅	jiàng shuài
将校	jiàng xiào
将相	jiàng xiàng
将门	jiàng mén
将门有将	jiàng mén yǒu jiàng
将领	jiàng lǐng
小传	xiǎo zhuàn
小子	xiǎo zi
小家子气	xiǎo jiā zi qì
小将	xiǎo jiàng
小眼薄皮	xiǎo yǎn bó pí
小调	xiǎo diào
小量	xiǎo liàng
少不更事	shào bù gēng shì
少儿	shào ér
少先队	shào xiān duì
少壮	shào zhuàng
少女	shào nǚ
少奶奶	shào nǎi nai
少妇	shào fù
少将	shào jiàng
少尉	shào wèi
少年	shào nián
少府	shào fǔ
少成若性	shào chéng ruò xìng
少林拳	shào lín quán
少校	shào xiào
少爷	shào ye
少男	shào nán
少量	shǎo liàng
少阳	shào yáng
尖嘴薄舌	jiān zuǐ bó shé
尤云殢雨	yóu yún tì yǔ
尥蹶子	liào juě zi
尸居龙见	shī jū lóng xiàn
尺二冤家	chǐ èr yuān jia
尺子	chǐ zi
尺寸之功	chǐ cùn zhī gōng
尺短寸长	chǐ duǎn cùn cháng
尽兴	jìn xìng
尽力而为	jìn lì ér wéi
尽可能	jǐn kě néng
尽多尽少	jǐn duō jǐn shǎo
尽快	jǐn kuài
尽早	jǐn zǎo
尽管	jǐn guǎn
尽量	jǐn liàng
尾巴	wěi ba
尿泡	suī pào
层台累榭	céng tái lěi xiè
层见迭出	céng xiàn dié chū
居下讪上	jū xià shàn shàng
居丧	jū sāng
屈戌儿	qū qu ér
屈指可数	qū zhǐ kě shǔ
屋子	wū zi
屎壳郎	shǐ ke làng
屏声息气	bǐng shēng xī qì
屏弃	bǐng qì
屏息	bǐng xī
屏气	bǐng qì
屙金溺银	ē jīn niào yín
属垣有耳	zhǔ yuán yǒu ěr
属毛离里	zhǔ máo lí lǐ
属相	shǔ xiàng
属辞比事	zhǔ cí bǐ shì
屡教不改	lǚ jiào bù gǎi
屯子	tún zi
山殽野湋	shān yáo yě wéi
山溜穿石	shān liù chuān shí
山节藻棁	shān jié zǎo zhuō
山里红	shān li hóng
山阴乘兴	shān yīn chéng xīng
岁差	suì chā
岂弟君子	kǎi tì jūn zǐ
岗头泽底	gāng tóu zé dǐ
峨峨汤汤	é é shāng shāng
峻阪盐车	jùn bǎn yán chē
崆峒	kōng tóng
川藏公路	chuān zàng gōng lù
州长	zhōu zhǎng
工作量	gōng zuò liàng
工尺	gōng chě
工行	gōng háng
左宜右有	zuǒ yí yòu yǒu
左枝右梧	zuǒ zhī yòu wú
左膀右臂	zuǒ bǎng yòu bì
巧发奇中	qiǎo fā qí zhòng
巨贾	jù gǔ
巨量	jù liàng
差三错四	chā sān cuò sì
差事	chāi shì
差价	chā jià
差使	chāi shǐ
差别	chā bié
差官	chāi guān
差异	chā yì
差强人意	chā qiáng rén yì
差役	chāi yì
差数	chā shù
差池	chā chí
差距	chā jù
差遣	chāi qiǎn
差错	chā cuò
差额	chā é
巴尔喀什湖	bā ěr kā shí hú
巴尔干半岛	bā ěr gàn bàn dǎo
巴结	bā jie
巷子	xiàng zi
巷道	hàng dào
市长	shì zhǎng
布尔什维克	bù ěr shí wéi kè
布鲁塞尔	bù lǔ sài ěr
师傅	shī fu
师父	shī fu
师直为壮	shī zhí wéi zhuàng
师长	shī zhǎng
帖子	tiě zi
帝都	dì dū
帡天极地	píng tiān jí dì
带累	dài lèi
席卷	xí juǎn
席子	xí zi
帮闲钻懒	bāng xián zuān lǎn
帷薄不修	wéi bó bù xiū
帽子	mào zi
干一行	gàn yì háng
干事	gàn shì
干什么	gàn shén me
干仗	gàn zhàng
干净利索	gàn jìng lì suǒ
干劲	gàn jìn
干名犯义	gàn míng fàn yì
干吗	gàn má
干咳	gān ké
干哪行	gàn nǎ háng
干啼湿哭	gàn tí shī kū
干城之将	gān chéng zhī jiàng
干将莫邪	gān jiāng mò yé
干性油	gān xìng yóu
干才	gàn cái
干掉	gàn diào
干校	gàn xiào
干活	gàn huó
干流	gàn liú
干渠	gàn qú
干电池	gān diàn chí
干线	gàn xiàn
干练	gàn liàn
干结	gān jié
干脆利索	gàn cuì lì suǒ
干警	gàn jǐng
干道	gàn dào
干部	gàn bù
干酵母	gān jiào mǔ
平调	píng diào
平铺直叙	píng pū zhí xù
年华垂暮	nián huá chuí mù
年少	nián shào
年谊世好	nián yì shì hǎo
年长	nián zhǎng
并处	bìng chǔ
并州	bīng zhōu
幺麽小丑	yāo mó xiǎo chǒu
广文先生	guǎng wén xiān sheng
广渠门	ān qú mén
广种薄收	guǎng zhòng bó shōu
广陵散绝	guǎng líng sǎn jué
庄严宝相	zhuāng yán bǎo xiàng
庄稼	zhuāng jia
应允	yīng yǔn
应声	yìng shēng
应声虫	yìng shēng chóng
应天顺时	yīng tiān shùn shí
应届	yīng jiè
应当	yīng dāng
应得	yīng dé
应有	yīng yǒu
应许	yīng xǔ
应该	yīng gāi
应酬	yìng chou
底下	dǐ xià
底子	dǐ zi
庞眉皓发	páng méi hào fà
度假	dù jià
度己以绳	duó jǐ yǐ shéng
度德量力	duó dé liàng lì
度数	dù shu
度量	dù liàng
庭长	tíng zhǎng
庶几	shù jī
庸中皦皦	yōng zhōng jiǎo jiǎo
建行	jiàn háng
建都	jiàn dū
开华结果	kāi huā jié guǒ
开小差	kāi xiǎo chāi
开户行	kāi hù háng
开花结实	kāi huā jié shí
开花结果	kāi huā jiē guǒ
异相	yì xiàng
弄堂	lòng táng
弄玉吹箫	nòng yù chuī xiāo
弄管调弦	nòng guǎn tiáo xián
弄粉调朱	nòng fěn diào zhū
弓调马服	gōng diào mǎ fú
引吭	yǐn háng
引着	yǐn zháo
引绳切墨	yǐn shéng qiē mò
弟兄	dì xiong
弟弟	dì di
张牙舞爪	zhāng yá wǔ zhǎo
弥撒	mí sa
弥缝	mí féng
弦乐	xián yuè
弦切角	xián qiē jiǎo
弯曲	wān qū
弱冠	ruò guàn
弹丸	dàn wán
弹丸脱手	tán wán tuō shǒu
弹坑	dàn kēng
弹壳	dàn ké
弹夹	dàn jiā
弹尽粮绝	dàn jìn liáng jué
弹弓	dàn gōng
弹无虚发	dàn wú xū fā
弹片	dàn piàn
弹着点	dàn zhuó diǎn
弹药	dàn yào
弹道	dàn dào
弹铗无鱼	dàn jiá wú yú
强作解人	qiǎng zuò jiě rén
强凫变鹤	qiáng fú biàn hè
强劲	qiáng jìng
强嘴拗舌	jiàng zuǐ niù shé
强将	qiáng jiàng
强弓劲弩	qiáng gōng jìng nǔ
强征	qiáng zhēng
强得易贫	qiǎng dé yì pín
强横	qiáng hèng
强死强活	qiǎng sǐ qiǎng huó
强求	qiǎng qiú
强留	qiáng liú
强直自遂	qiáng zhí zì suí
强而后可	qiǎng ér hòu kě
强聒不舍	qiǎng guō bù shě
强词夺理	qiǎng cí duó lǐ
强调	qiáng diào
强迫	qiǎng pò
强逼	qiáng bī
强食自爱	qiǎng shí zì ài
强食靡角	qiǎng shí mí jiǎo
归一	guī yī
归一码	guī yì mǎ
归还	guī huán
归降	guī xiáng
当作	dàng zuò
当做	dàng zuò
当务始终	dāng wù shǐ zhōng
当差	dāng chāi
当成	dàng chéng
当真	dàng zhēn
当着不着	dāng zhuó bù zhuó
当行出色	dāng háng chū sè
当轴处中	dāng zhóu chǔ zhōng
当量	dāng liàng
当铺	dàng pù
当间儿	dāng jiàn er
彬彬济济	bīn bīn jǐ jǐ
影子	yǐng zi
往渚还汀	wǎng zhǔ huán tīng
征调	zhēng diào
征辟	zhēng bì
徇难	xùn nàn
得之	dé zhī
得当	dé dàng
得空	dé kòng
得马折足	dé mǎ shé zú
御史大夫	yù shǐ dà fū
微薄	wēi bó
德薄能鲜	dé bó néng xiǎn
心口不一	xīn kǒu bù yī
心口相应	xīn kǒu xiāng yīng
心宽体胖	xīn kuān tǐ pán
心急火燎	xīn jí huǒ liǎo
心手相应	xīn shǒu xiāng yìng
心里有数	xīn lǐ yǒu shù
心里话	xīn lǐ huà
忖度	cǔn duó
忧闷	yōu mèn
念头	niàn tou
怎么着	zěn me zhāo
怒发冲冠	nù fà chōng guān
怒号	nù háo
怒喝	nù hè
怔住	zhèng zhù
思所逐之	sī suǒ zhú zhī
思量	sī liang
急公好义	jí gōng hào yì
怨声载道	yuàn shēng zài dào
怪模怪样	guài mú guài yàng
怪相	guài xiàng
总得	zǒng děi
总行	zǒng háng
总量	zǒng liàng
总长	zǒng zhǎng
恋恋不舍	liàn liàn bù shě
恐吓	kǒng hè
恒量	héng liàng
恨海难填	hèn hǎi nán tián
恫吓	dòng hè
恫疑虚喝	dòng yí xū hè
恬不为怪	tián bù wéi guài
恬不为意	tián bù wéi yì
恰切	qià qiè
恰如其分	qià rú qí fèn
恰当	qià dàng
恶不去善	wù bú qù shàn
恶少	è shào
恶居下流	wù jū xià liú
恶心	ě xīn
恶意中伤	è yì zhòng shāng
恶湿居下	wù shī jū xià
恶醉强酒	wù zuì qiǎng jiǔ
悄声	qiǎo shēng
悄无声息	qiǎo wú shēng xī
悄然	qiǎo rán
悉索薄赋	xī suǒ bó fù
悍将	hàn jiàng
悔不当初	huǐ bù dāng chū
患难	huàn nàn
悬狟素飡	xuán huán sù cān
悬石程书	xuán dàn chéng shū
悬龟系鱼	xuán guī xì yú
悲悲切切	bēi bēi qiè qiē
情凄意切	qíng qī yì qiè
情见乎辞	qíng xiàn hū cí
情见势屈	qíng xiàn shì qū
情调	qíng diào
情非得已	qíng fēi dé yǐ
惟日为岁	wéi rì wéi suì
惟精惟一	wéi jīng wéi yī
惠更斯	huì gēng sī
惩处	chéng chǔ
惯量	guàn liàng
想头	xiǎng tou
想望风褱	xiǎng wàng fēng huái
愁山闷海	chóu shān mèn hǎi
愁闷	chóu mèn
意兴	yì xìng
意兴索然	yì xīng suǒ rán
慈悲为本	cí bēi wéi běn
憋闷	biē mèn
憎恶	zēng wù
懂得	dǒng de
懂行	dǒng háng
懒得	lǎn de
懒散	lǎn sǎn
戎马劻勷	róng mǎ kuāng ráng
戏班子	xì bān zi
成为	chéng wéi
成分	chéng fèn
成吉思汗	chéng jí sī hán
成家立业	chéng jiā lì yè
成年累月	chéng nián lěi yuè
成败兴废	chéng bài xīng fèi
成都	chéng dū
成长	chéng zhǎng
战将	zhàn jiàng
户口簿	hù kǒu bù
户限为穿	hù xiàn wéi chuān
房子	fáng zi
所作所为	suǒ zuò suǒ wéi
扁担	biǎn dàn
扁舟	piān zhōu
扇动	shān dòng
扇子	shàn zi
扇风机	shān fēng jī
手不应心	shǒu bù yīng xīn
手相	shǒu xiàng
手脚干净	shǒu jiǎo gàn jìng
手足异处	shǒu zú yì chǔ
手足重茧	shǒu zú chóng jiǎn
才大难用	cái dà nán yòng
才干	cái gàn
才薄智浅	cái bó zhì qiǎn
扎实	zhā shi
扎挣	zhá zheng
扎染	zā rǎn
扑扇	pū shān
扒手	pá shǒu
扒灰	pá huī
打中	dǎ zhòng
打主意	dǎ zhǔ yì
打发	dǎ fā
打呼噜	dǎ hū lu
打哆嗦	dǎ duō suo
打场	dǎ cháng
打手	dǎ shǒu
打手势	dǎ shǒu shì
打扮	dǎ bàn
打更	dǎ gēng
打板子	dǎ bǎn zi
打点	dǎ diǎn
打着	dǎ zhe
打量	dǎ liang
打闷葫芦	dǎ mèn hú lu
打颤	dǎ zhàn
打马虎眼	dǎ mǎ hu yǎn
执拗	zhí niù
执着	zhí zhuó
执著	zhí zhuó
扪参历井	mén shēn lì jǐng
扫兴	sǎo xìng
扫帚	sào zhou
扫把	sào bǎ
扬风扢雅	yáng fēng jié yǎ
扭曲	niǔ qū
扮相	bàn xiàng
扯纤拉烟	chě qiàn lā yān
扯顺风旗	chě shùn fēng qí
扳手	bān shǒu
批量	pī liàng
扼吭夺食	è háng duó shí
扼襟控咽	è jīn kòng yān
承载	chéng zài
把玩无厌	bǎ wán wú yàn
抑塞磊落	yì sè lěi luò
投传而去	tóu zhuàn ér qù
投其所好	tóu qí suǒ hào
投奔	tóu bèn
投弹	tóu dàn
投降	tóu xiáng
抖搂	dǒu lōu
抗颜为师	kàng yán wéi shī
折子	zhé zi
折箭为誓	shé jiàn wéi shì
折而族之	zhé ér zú zhī
折腾	zhē teng
折衷主义	zhé zhōng zhǔ yì
折跟头	zhē gēn tou
抛头露面	pāo tóu lù miàn
抛撒	pāo sǎ
护士长	hù shi zhǎng
报丧	bào sāng
披发文身	pī fà wén shēn
披散	pī sàn
披靡	pī mǐ
抱法处势	bào fǎ chǔ shì
抱蔓摘瓜	bào wàn zhāi guā
抹布	mā bù
抹煞	mǒ shā
抹粉施脂	mò fěn shī zhī
押解	yā jiè
抽调	chōu diào
担子	dàn zi
担担面	dàn dan miàn
拉家常	lā jiā cháng
拉纤	lā qiàn
拌和	bàn huò
拍子	pāi zi
拍纸簿	pāi zhǐ bù
拐弯抹角	guǎi wān mò jiǎo
拓本	tà běn
拓片	tà piàn
拔本塞源	bá běn sè yuán
拔锅卷席	bá guō juǎn xí
拖累	tuō lěi
拘泥	jū nì
拘神遣将	jū shén qiǎn jiàng
拚命	pīn mìng
招降	zhāo xiáng
拜将封侯	bài jiàng fēng hóu
拥塞	yōng sè
择菜	zhái cài
拮据	jié jū
拱券	gǒng xuàn
拱手而降	gǒng shǒu ér xiáng
拱肩缩背	gǒng jiān suō bèi
拳头	quán tou
拽巷啰街	zhuài xiàng luó jiē
拽布拖麻	zhuài bù tuō má
拽耙扶犁	zhuāi pá fú lí
拾掇	shí duo
拾掇无遗	shí duō wú yí
挂席为门	guà xí wéi mén
指天为誓	zhǐ tiān wéi shì
指头	zhǐ tou
指山说磨	zhǐ shān shuō mò
指树为姓	zhǐ shù wéi xìng
指皂为白	zhǐ zào wéi bái
指腹为婚	zhǐ fù wéi hūn
指雁为羹	zhǐ yàn wéi gēng
指鹿为马	zhǐ lù wéi mǎ
挑么挑六	tiāo yāo tiāo liù
挑动	tiǎo dòng
挑唆	tiǎo suō
挑唇料嘴	tiǎo chún liào zuǐ
挑大梁	tiǎo dà liáng
挑子	tiāo zi
挑战	tiǎo zhàn
挑担	tiāo dàn
挑拨	tiǎo bō
挑明	tiǎo míng
挑灯	tiǎo dēng
挑牙料唇	tiǎo yá liào chún
挑花	tiǎo huā
挑衅	tiǎo xìn
挑逗	tiǎo dòu
挟势弄权	xié shì nòng quán
挠直为曲	náo zhí wéi qū
挣扎	zhēng zhá
挦章撦句	xián zhāng chě jù
挨个儿	āi gè er
挨山塞海	āi shān sè hǎi
挨斗	ái dòu
挺括	tǐng kuò
捆扎	kǔn zā
捋虎须	luō hǔ xū
损兵折将	sǔn bīng zhé jiàng
换行	huàn háng
捣虚撇抗	dǎo xū piē kàng
据为己有	jù wéi jǐ yǒu
捱风缉缝	ái fēng jī fèng
捻土为香	niǎn tǔ wéi xiāng
捻子	niǎn zi
掎裳连襼	jǐ shang lián yì
排忧解难	pái yōu jiě nàn
排长	pái zhǎng
排难解纷	pái nàn jiě fēn
掞藻飞声	shàn zǎo fēi shēng
探囊胠箧	tàn náng qū qiè
接种	jiē zhòng
推干就湿	tuī gàn jiù shī
推磨	tuī mò
掷弹筒	zhì dàn tǒng
掺和	chān huo
揆情度理	kuí qíng duó lǐ
揎拳捋袖	xuān quán luō xiù
提供	tí gōng
提干	tí gàn
提拉	tí lā
提调	tí diào
提防	dī fáng
握拳透爪	wò quán tòu zhǎo
揣度	chuǎi duó
揣手儿	chuāi shǒu er
搀和	chān huo
搀行夺市	chān háng duó shì
搁得住	gé de zhù
搅和	jiǎo huo
搅混	jiǎo hún
搜岩采干	sōu yán cǎi gàn
搪塞	táng sè
搭载	dā zài
摇滚乐	yáo gǔn yuè
摊子	tān zi
摔打	shuāi dǎ
摧刚为柔	cuī gāng wéi róu
摧折	cuī zhé
摧折豪强	cuī zhé háo qiáng
摩挲	mó suō
摸不着边	mō bù zhuó biān
摸门不着	mō mén bù zháo
摽梅之年	biào méi zhī nián
撇开	piē kāi
撒呓挣	sā yì zheng
撒布	sǎ bù
撒播	sǎ bō
撒豆成兵	sǎ dòu chéng bīng
播撒	bō sǎ
播糠眯目	bō kāng mí mù
撮合	cuō he
撮科打哄	cuō kē dǎ hòng
擂天倒地	léi tiān dǎo dì
擂鼓	léi gǔ
擘两分星	bò liǎng fēn xīng
擢发难数	zhuó fà nán shǔ
擿埴索涂	zhāi zhí suǒ tú
攀花折柳	pān huā zhé liǔ
攀蟾折桂	pān chán shé guì
攒三聚五	cuán sān jù wǔ
攒动	cuán dòng
攒眉	cuán méi
攒眉蹙额	cuán mei cù é
攒锋聚镝	cuán fēng jù dí
攒零合整	cuán líng hé zhěng
支吾其词	zhī wú qí cí
支着儿	zhī zhāo er
支行	zhī háng
改为	gǎi wéi
改弦更张	gǎi xián gēng zhāng
攻城掠地	gōng chéng lüè dì
放假	fàng jià
放辟邪侈	fàng pì xié chǐ
放量	fàng liàng
政令不一	zhèng lìng bù yī
故都	gù dū
救苦救难	jiù kǔ jiù nàn
