# phrase	space-separated tone-marked syllables
乐音	yuè yīn
乔装打扮	qiáo zhuāng dǎ bàn
乘兴	chéng xìng
乜斜	miē xie
九一	jiǔ yī
九曲	jiǔ qū
九蒸三熯	jiǔ zhēng sān hàn
九转功成	jiǔ zhuǎn gōng chéng
习焉不察	xí yān bù chá
书缺有间	shū quē yǒu jiàn
买得起	mǎi de qǐ
买椟还珠	mǎi dú huán zhū
乱哄哄	luàn hōng hōng
乳臭未干	rǔ xiù wèi gān
了不可见	liǎo bù kě jiàn
了不起	liǎo bù qǐ
了不长进	liǎo bù zhǎng jìn
了了	liǎo liǎo
了事	liǎo shì
了却	liǎo què
了如指掌	liǎo rú zhǐ zhǎng
了得	liǎo dé
了悟	liǎo wù
了断	liǎo duàn
了无惧色	liǎo wú jù sè
了无生机	liǎo wú shēng jī
了望台	liào wàng tái
了然	liǎo rán
了然无闻	liǎo rán wú wén
了结	liǎo jié
了若指掌	liǎo ruò zhǐ zhǎng
了解	liǎo jiě
了身达命	liǎo shēn dá mìng
予取予求	yú qǔ yú qiú
予智予雄	yú zhì yú xióng
事假	shì jià
事后诸葛亮	shì hòu zhū gě liàng
二一	èr yī
二人转	èr rén zhuàn
二十八宿	èr shí bā xiù
二竖为虐	èr shù wéi nüè
于今为烈	yú jīn wéi liè
于家为国	yú jiā wéi guó
亏得	kuī dé
云舒霞卷	yún shū xiá juǎn
云量	yún liàng
互为因果	hù wéi yīn guǒ
互为表里	hù wéi biǎo lǐ
五一	wǔ yī
五侯七贵	wǔ hóu qī guì
五侯蜡烛	wǔ hòu là zhú
五石六鹢	wǔ shí liù yì
五羖大夫	wǔ gǔ dà fū
五脊六兽	wǔ jǐ liù shòu
五色相宣	wǔ sè xiāng xuān
井底虾蟆	jǐng dǐ xiā má
亚得里亚海	yà dé lǐ yà hǎi
亡国大夫	wáng guó dà fū
交响乐	jiāo xiǎng yuè
交差	jiāo chāi
交恶	jiāo wù
交还	jiāo huán
产假	chǎn jià
产量	chǎn liàng
亭子	tíng zi
亮相	liàng xiàng
亲家	qìng jia
亲家公	qìng jia gōng
亲戚	qīn qi
人为	rén wéi
人事不省	rén shì bù xǐng
人参	rén shēn
人才济济	rén cái jǐ jǐ
人才难得	rén cái nán dé
人模狗样	rén mú gǒu yàng
人满为患	rén mǎn wéi huàn
人莫予毒	rén mò yú dú
人行道	rén xíng dào
人言藉藉	rén yán jí jí
什件儿	shí jiàn er
什伍东西	shí wǔ dōng xī
什刹海	shí chà hǎi
什围伍攻	shí wéi wǔ gōng
什物	shí wù
什袭珍藏	shí xí zhēn cáng
什锦	shí jǐn
介壳	jiè qiào
从俗就简	cóng sú jiù jiǎn
仓卒	cāng cù
仔仔细细	zǐ zǐ xì xì
仔猪	zǐ zhū
仔细	zǐ xì
仡佬	gē lǎo
代为	dài wéi
令人发指	lìng rén fà zhǐ
令人捧腹	lìng rén pěng fù
令原之戚	líng yuán zhī qī
令狐	líng hú
以一奉百	yǐ yī fèng bǎi
以一持万	yǐ yī chí wàn
以一知万	yǐ yī zhī wàn
以一警百	yǐ yī jǐng bǎi
以为	yǐ wéi
以书为御	yǐ shū wéi yù
以利累形	yǐ lì lěi xíng
以升量石	yǐ shēng liáng dàn
以古为鉴	yǐ gǔ wéi jiàn
以大恶细	yǐ dà wù xì
以守为攻	yǐ shǒu wéi gōng
以宫笑角	yǐ gōng xiào jué
以己度人	yǐ jǐ duó rén
以意为之	yǐ yì wéi zhī
以慎为键	yǐ shèn wéi jiàn
以攻为守	yǐ gōng wéi shǒu
以毁为罚	yǐ huǐ wéi fá
以水济水	yǐ shuǐ jǐ shuǐ
以法为教	yǐ fǎ wéi jiào
以牙还牙	yǐ yá huán yá
以疏间亲	yǐ shū jiàn qīn
以眼还眼	yǐ yǎn huán yǎn
以筌为鱼	yǐ quán wéi yú
以规为瑱	yǐ guī wéi tiàn
以言为讳	yǐ yán wéi huì
以身许国	yǐ shēn xǔ guó
以退为进	yǐ tuì wéi jìn
以邻为壑	yǐ lín wéi hè
以黑为白	yǐ hēi wéi bái
任务	rèn wu
任达不拘	rèn dá bù jū
份子	fèn zi
份量	fèn liàng
仿佛	fǎng fú
伎俩	jì liǎng
休假	xiū jià
休息	xiū xi
众啄同音	zhòng zhuó tóng yīn
众多非一	zhòng duō fēi yī
众好众恶	zhòng hào zhòng wù
众毛攒裘	zhòng máo cuán qiú
众生相	zhòng shēng xiàng
众矢之的	zhòng shǐ zhī dì
会儿	huì er
会计	kuài jì
会长	huì zhǎng
传为佳话	chuán wéi jiā huà
传为笑谈	chuán wéi xiào tán
传为美谈	chuán wéi měi tán
传记	zhuàn jì
传风扇火	chuán fēng shān huǒ
伯伯	bó bo
伯子	bǎi zi
估摸	gū mo
估量	gū liang
伺候	cì hou
似的	shì de
伽马射线	gā mǎ shè xiàn
低调	dī diào
体量	tǐ liàng
何乐不为	hé lè bù wéi
何乐而不为	hé lè ér bù wéi
何曾	hé céng
何足为奇	hé zú wéi qí
余切	yú qiē
余勇可贾	yú yǒng kě gǔ
佛头着粪	fó tóu zhuó fèn
佛头著粪	fó tóu zhuó fèn
佛爷	fó ye
作为	zuò wéi
作乐	zuò lè
作坊	zuō fang
作嫁衣裳	zuò jià yī shang
作弄	zuò nòng
佝偻	gōu lóu
使得	shǐ de
使羊将狼	shǐ yáng jiàng láng
侃大山	kǎn dà shān
侄子	zhí zi
例假	lì jià
侏儒观戏	zhū rú guān xì
侔色揣称	móu sè chuǎi chèn
供不应求	gōng bú yìng qiú
供应	gōng yìng
供气	gōng qì
供水	gōng shuǐ
供求	gōng qiú
供电	gōng diàn
供稿	gōng gǎo
供给	gōng jǐ
供过于求	gōng guò yú qiú
供销	gōng xiāo
供需	gōng xū
依依不舍	yī yī bù shě
依头缕当	yī tóu lǚ dàng
便宜	pián yi
便溺	biàn niào
俏皮	qiào pí
保得住	bǎo de zhù
保长	bǎo zhǎng
信号弹	xìn hào dàn
信差	xìn chāi
信皮儿	xìn pí er
俭不中礼	jiǎn bú zhòng lǐ
修鳞养爪	xiū lín yǎng zhǎo
倒数	dào shǔ
倒果为因	dào guǒ wéi yīn
倒腾	dǎo teng
倒裳索领	dào cháng suǒ lǐng
倒载干戈	dào zài gān gē
倔头倔脑	juè tóu juè nǎo
倔头强脑	juè tóu jiàng nǎo
倔强	jué jiàng
倚闾望切	yǐ lǘ wàng qiē
借调	jiè diào
倡而不和	chàng ér bú hè
倦鸟知还	juàn niǎo zhī huán
倾肠倒肚	qīng cháng dào dǔ
偃革为轩	yǎn gé wéi xuān
假一	jiǎ yī
假发	jiǎ fà
假期	jià qī
偏听偏信	piān tīng piān xìn
偏差	piān chā
停留长智	tíng liú zhǎng zhì
健将	jiàn jiàng
偷空	tōu kòng
偿还	cháng huán
傍若无人	páng ruò wú rén
傧相	bīn xiàng
储量	chǔ liàng
催泪弹	cuī lèi dàn
傲不可长	ào bù kě zhǎng
傻劲儿	shǎ jìn er
像模像样	xiàng mú xiàng yàng
儒将	rú jiàng
儗不于伦	nǐ bù yú lún
儿女亲家	ér nǚ qìng jiā
儿女心肠	ér nǚ xīn cháng
儿女成行	ér nǚ chéng háng
儿子	ér zi
允当	yǔn dàng
兄死弟及	xiōng sǐ dì jí
